"","CU25_1","CU25_2","CU25_4","CU25_5","CU25_6","CU25_7","CU25_8","CU25_10"
"Cfp",8.53721986356897,8.87390317625571,8.38352776110789,8.50061681243863,7.92387751244571,7.81564803586532,7.59966265143384,7.97469340727251
"Timp1",7.70103540717774,7.2263603362921,7.05468673615737,7.70711602635621,6.69704486864226,6.56898465608084,6.59266451802607,6.60288201101699
"Uxt",8.99142921988182,9.06794292286286,8.85631377690558,8.75217435558171,9.61976854109913,9.46880078441658,9.6222986528127,9.31961356453512
"Cnnm3",9.62522656760802,9.67467174307492,9.43318157267544,9.41582224175825,10.6499756046375,10.533486882713,10.2867142080034,9.78535115967124
"Lman2l",10.7328972790322,10.6476566975115,10.5258645126942,10.2198549475368,9.4343545606441,9.80511767575328,9.21814708740054,9.56871824318365
"Mcm3ap",10.4183785959213,10.4261028169559,10.312946313777,10.0160632043354,10.5783143191365,10.3851610973929,10.3226644796271,10.2939373697301
"Pcnt",12.0948853868308,11.8522618971148,12.0336689186135,11.5803692854572,13.169628624318,13.3315555793255,13.3071559294463,12.9745182164942
"Ftcd",6.51369747841017,6.08903019021879,6.08903019021879,6.08903019021879,6.08903019021879,6.08903019021879,6.08903019021879,6.81198553981036
"Mxd1",8.33117213987224,8.13581686693212,8.2816109282686,8.23254355337066,8.63488054649199,8.68532597298941,8.44769492668815,8.47517086844088
"Gmcl1",7.76514379750132,7.63530879228856,7.7220637659103,7.97514077916978,7.71580570786542,7.39548413495507,7.55432705988254,7.45711254980409
"Snrnp27",10.1574326603743,10.3694669243702,10.337487624195,10.3648917703616,10.3101655820224,10.5977229497507,10.5548972100054,10.4323413581339
"Oas1c",6.57006655456008,7.03061360692945,6.68717907155138,6.4950796550816,6.52054005440785,6.66157001922313,6.72904433470513,6.68134761003087
"Ocrl",10.066369614376,10.2563850477729,10.1736292757776,10.0274117959796,10.4730337814842,10.8659313286166,10.8063867157875,10.7042968498265
"Calm1",14.6704498734923,15.0284298959518,14.9927311395012,14.7637263705902,13.2370398793685,13.3588139443547,13.0120048480822,14.0508984329386
"Agpat3",12.2590422983053,12.1177730173775,12.3891368724203,11.7917935805758,12.6992049843419,12.7129296903886,12.8098351983743,12.6119998124392
"Sema6b",8.23200768418866,7.79420197446165,8.0091981149717,7.5972270910236,8.17407272105463,8.16642928218327,8.43866528266667,8.11642526177202
"Uhrf1",7.46775522271853,6.72552634166828,6.97853725107457,6.74853939422495,7.05535972326048,6.96817139745881,6.8985008461541,7.53828827753593
"Dpp9",11.8175938929334,11.9975323176545,11.6291527510386,11.3355438518021,11.4837123726768,11.5466406380249,11.6185276525937,11.4800635542438
"Ramp2",9.50805543153094,9.12614748958218,9.26983384601733,9.10145175003208,9.10068832002647,9.30321663560093,9.18168198926633,8.98906059249303
"Lsr",7.13454604080316,6.94813919239096,6.75660926263257,6.89335488128633,6.94275920219649,6.60178936420311,6.8985008461541,6.88648543477109
"Gramd1a",10.3045532744007,9.90850152974783,10.2187878171979,9.92862309910907,10.6718828469461,10.4382127964369,10.5669271741368,10.0939605721819
"Hpn",8.43816671725562,8.31966450385534,8.47401322619856,8.33372391187256,8.23739709546916,7.78462996178209,8.44318773104652,8.01601059520929
"Ckb",9.61739475449274,9.08202247121961,8.69983800634919,9.06972318125695,7.38044620081865,7.54082134590172,7.20681038356162,7.79401497002662
"Sp1",9.66223014976223,9.68201828546545,10.0302964721769,10.1547109881327,10.4977871832819,10.3554844854877,10.8348386294273,10.309500270079
"Itgb7",7.79593920748465,7.47046616820094,7.46033660168725,7.24555203718509,6.6447439704945,6.9857430972625,6.70431690620312,7.21530203041195
"Myg1",8.96171948789556,9.01898181270872,8.80828109210443,8.55192460925625,8.78327453442495,8.86483197078772,8.55571826858781,8.6616241612163
"Rarg",10.0502264148904,9.6316765782362,9.2976411334455,9.66475952172639,8.67258684755718,8.6415793967577,8.53479613683873,8.6219443109851
"Pfdn5",11.2156645323791,11.426345275435,11.1552394682327,11.0109627199696,11.4434669601388,11.5345346462234,11.4192683349445,11.3498871396944
